tokens,embedding
burning,"[-0.02066956 -0.01229952 -0.00534993 ... -0.00899398 -0.00240448
 -0.01456295]"
burst,"[-0.03447654 -0.02282791 -0.01013388 ... -0.01382475 -0.00291394
 -0.00927339]"
bury,"[-0.01019579 -0.02109332  0.00281382 ... -0.01360815 -0.01520426
 -0.00957662]"
bus,"[-0.00742383 -0.028284   -0.00442478 ... -0.02815439 -0.01450923
 -0.02095378]"
bush,"[-0.03338742 -0.01396766 -0.01597846 ... -0.01724702 -0.00599192
 -0.01112689]"
business,"[-0.00494119 -0.04334856  0.00858564 ...  0.00279478 -0.00767364
 -0.02282853]"
bust,"[-0.04845988 -0.01796918 -0.01046847 ...  0.00558996 -0.01357175
 -0.02013741]"
busy,"[-0.0334387  -0.02512891 -0.00514195 ... -0.01527975 -0.0018093
 -0.04783473]"
butt,"[-0.00875605 -0.02993734 -0.00929114 ... -0.00146108  0.00120483
 -0.0105559 ]"
buy,"[ 0.00200095 -0.02621979  0.0056758  ... -0.01211821  0.01028958
 -0.01028958]"
buying,"[-0.00995135 -0.0096168  -0.00393921 ... -0.01269339  0.01735747
  0.00398513]"
buzz,"[-0.0264667  -0.02840732 -0.00163782 ... -0.00967555 -0.00344253
 -0.01775457]"
c19,"[-0.00298501 -0.0198779   0.01695273 ... -0.01170735 -0.01179378
 -0.01636769]"
ca,"[ 0.00303688 -0.02514581  0.00905138 ...  0.00262023 -0.02188229
 -0.01018105]"
cabinet,"[-0.00458014 -0.01760076 -0.00373812 ...  0.00695339 -0.01216843
 -0.03104578]"
caged,"[-0.02284605 -0.01263084 -0.00112507 ... -0.00446276 -0.02797754
 -0.00460606]"
calendar,"[ 0.00528213 -0.01200229  0.01215662 ... -0.00771626 -0.00109957
 -0.02399056]"
california,"[-0.00013515 -0.02374898  0.00068897 ...  0.00555827  0.0019198
 -0.01620941]"
call,"[-0.02042415 -0.02824428  0.00469133 ... -0.00797564 -0.02011313
 -0.02531173]"
called,"[-0.03462504 -0.01732553 -0.00967082 ... -0.02533793 -0.01629796
 -0.01023663]"
calling,"[-0.03744502 -0.01767557 -0.00174376 ... -0.01345383 -0.00652297
 -0.01673741]"
cam,"[-0.00597811 -0.02231382  0.00234795 ...  0.00264768 -0.02704301
 -0.01518672]"
came,"[-0.00425798 -0.02764328  0.01034272 ... -0.0208735  -0.00759586
 -0.01220979]"
campaign,"[-0.01361802 -0.02387174  0.00306271 ...  0.00639685 -0.01651319
 -0.02405939]"
campbell,"[-0.01286106 -0.00597413  0.00789511 ...  0.02352866 -0.02108997
 -0.00891691]"
camps,"[-0.00511521 -0.01017568  0.01177012 ...  0.00330521 -0.01541064
 -0.01968073]"
canaanite,"[-0.02317408 -0.00827549  0.00593853 ...  0.00530117  0.01246382
 -0.0235113 ]"
canada,"[ 0.000521   -0.03217795 -0.01569139 ...  0.0157444  -0.00492012
 -0.02274191]"
canadian,"[-0.02138946 -0.01865805  0.00231576 ...  0.00764663  0.00303985
 -0.03364783]"
cancel,"[-0.00939157 -0.02724819 -0.0054363  ...  0.00218294 -0.00275149
 -0.00934244]"
canceled,"[-0.02880285 -0.03658888 -0.00256415 ... -0.01795414 -0.01423808
 -0.00701695]"
cancellation,"[-0.01214542 -0.01616238 -0.00649466 ... -0.00132999  0.0011477
 -0.02225197]"
cancelled,"[-0.0166434  -0.02961301 -0.01415246 ... -0.00174731 -0.01207899
 -0.01948224]"
cancelling,"[-0.02677578 -0.01453309 -0.00502728 ...  0.00066846  0.00661214
 -0.00766191]"
cancer,"[-0.00246617 -0.02253091 -0.01154167 ... -0.00467257 -0.0019532
 -0.00961477]"
candidate,"[-0.01503869 -0.03491171  0.00793092 ... -0.02762102 -0.01107976
 -0.00035114]"
cant,"[-0.02921836 -0.02031545  0.01042411 ...  0.00529618 -0.02288117
 -0.02816683]"
capitalism,"[-0.00331529 -0.03254772 -0.0052229  ... -0.02094421  0.00174645
 -0.01134697]"
capitalist,"[-0.02534992 -0.02073841  0.00026371 ... -0.02349995  0.00463832
 -0.00473551]"
capitol,"[-0.00945979 -0.01521144 -0.02195103 ... -0.00046563 -0.01701137
 -0.02235703]"
captain,"[-0.00612829 -0.02443158  0.00068106 ... -0.00040872 -0.01232455
  0.00153717]"
car,"[-0.00748728 -0.02159819 -0.0046481  ...  0.0077457  -0.02411435
 -0.00604559]"
carbon,"[ 0.00460665 -0.02507075 -0.02721062 ...  0.00784617 -0.02536135
 -0.02171566]"
card,"[-0.0129701  -0.00539378 -0.00850077 ... -0.00127894 -0.00637732
 -0.05149117]"
cardiologist,"[-0.0244118   0.01144303  0.00790254 ... -0.00390889 -0.00492931
 -0.03969526]"
cardiomyopathy,"[-0.04294848  0.00929046 -0.01257531 ... -0.00219155 -0.01346454
 -0.05330072]"
cards,"[-0.01433976 -0.00267216  0.00744859 ... -0.01234697 -0.00958771
 -0.05588187]"
care,"[ 0.0086583  -0.02670151  0.01870192 ...  0.00558545 -0.01409774
 -0.01480399]"
carefully,"[-0.0045434  -0.01516471  0.00783644 ...  0.00215803  0.01275761
 -0.00891295]"
careless,"[-0.01976104 -0.00591612  0.00384243 ... -0.01944931  0.00999573
 -0.04285626]"
carlos,"[-0.00990331  0.00430593 -0.00446987 ...  0.00856503 -0.01352337
  0.00163605]"
carlson,"[-0.00587169  0.00532376  0.00509714 ...  0.00428539 -0.01918447
  0.0039776 ]"
caroline,"[-0.01781543  0.01071585 -0.00081432 ...  0.01389338 -0.01778884
 -0.00781752]"
carson,"[-0.0050321  -0.00485385  0.01606982 ...  0.01942913 -0.02468062
  0.00798007]"
cartel,"[-0.03185405 -0.01045762 -0.00020851 ...  0.0153035  -0.01768916
 -0.03320954]"
case,"[ 0.01747881 -0.02104058  0.01423333 ...  0.00466881 -0.01699749
 -0.02233327]"
cash,"[ 0.00227164 -0.02144373  0.01099556 ... -0.01784469  0.01007185
 -0.0327335 ]"
casket,"[-0.00803426 -0.00558028  0.01622987 ... -0.00354314 -0.01144966
 -0.02510453]"
casting,"[-0.01270952 -0.02792202 -0.00835019 ...  0.0044532  -0.02006548
 -0.01144413]"
cataclysm,"[-0.00885177 -0.01854721  0.00839591 ...  0.00714401 -0.00621189
 -0.03497163]"
catastrophe,"[-0.02418329 -0.0180285   0.00715197 ...  0.01196617 -0.00988596
 -0.02119835]"
catastrophic,"[-0.03662748  0.00307942  0.02199005 ...  0.00814622 -0.01294171
 -0.03641042]"
caught,"[-0.02045656  0.00588588  0.00378404 ... -0.00379471 -0.02537865
 -0.00912579]"
causal,"[-0.0206893  -0.00849642 -0.00773818 ... -0.01930821 -0.00208518
 -0.03991626]"
cause,"[ 0.0007198  -0.02651554  0.00327929 ... -0.01371309 -0.01092092
 -0.02506924]"
caused,"[-0.01556783 -0.02660634 -0.00294778 ... -0.01244884 -0.01029267
 -0.02779969]"
causing,"[-0.01473883 -0.02143829  0.00125442 ... -0.00557368 -0.00236899
 -0.02717082]"
cautionary,"[-0.01908978 -0.00736967 -0.0017738  ... -0.01376495  0.00836464
 -0.0233167 ]"
cave,"[-0.01524114 -0.01162002  0.00572894 ... -0.00131147  0.00567489
 -0.00130134]"
cbdc,"[-0.02853625 -0.00684718 -0.01482115 ... -0.00616626 -0.01066653
 -0.01106056]"
cdc,"[-0.00209531 -0.00582327 -0.01497617 ... -0.0072916  -0.02309303
 -0.00610551]"
cedes,"[-0.00972648 -0.00192474  0.00742246 ... -0.00891121 -0.01475986
 -0.00288179]"
celebrated,"[-0.02574187 -0.00552614  0.00279316 ... -0.01267035  0.0060811
 -0.01619398]"
censor,"[-0.01721298 -0.01541672 -0.00079426 ... -0.01167569  0.00778615
 -0.0097097 ]"
censored,"[-0.02904899 -0.01045334 -0.01146105 ... -0.01052724 -0.00407116
 -0.00661731]"
censoring,"[-0.02393404 -0.00242579  0.00178482 ... -0.00562211  0.003406
 -0.01547871]"
censorship,"[-0.00918617 -0.01319092 -0.00972103 ... -0.00019921  0.008424
 -0.01488241]"
center,"[-0.00162186 -0.00810756  0.00135443 ...  0.00412301 -0.01758599
 -0.02615743]"
centered,"[-0.03670538  0.00494736  0.00295486 ...  0.01603488 -0.01125017
 -0.04277776]"
central,"[-0.00358267  0.00589066  0.00260712 ...  0.0061218  -0.02229819
 -0.02641791]"
centre,"[-0.01193397 -0.00838048  0.0058677  ... -0.00308448 -0.0252236
 -0.01939013]"
ceo,"[-0.01457932 -0.02533891 -0.01970027 ...  0.00132309 -0.00584502
 -0.00952832]"
ceos,"[-0.01404153 -0.0227028  -0.01404153 ...  0.00287434 -0.00163007
  0.00562357]"
ceremony,"[-0.00128421 -0.01763142 -0.00589985 ... -0.01442942  0.01018507
 -0.01933461]"
certain,"[-0.01230723 -0.02064265  0.01865674 ... -0.01711665 -0.00820032
  0.00369825]"
certainly,"[-0.00761043 -0.01726021  0.00016165 ... -0.01782745  0.00244959
 -0.00908255]"
certification,"[ 0.00286305 -0.01664912 -0.02078766 ... -0.00907764 -0.00082007
 -0.01812814]"
cetf,"[-0.017425   -0.01677911 -0.01377432 ...  0.0130863   0.00930925
 -0.01930651]"
chain,"[-0.00959699 -0.01694004 -0.00959699 ... -0.00956864 -0.00851255
 -0.0190664 ]"
champ,"[-0.0074639  -0.00501801 -0.00285184 ... -0.01396582 -0.01903499
  0.00120504]"
chan,"[ 0.00587076 -0.01626742  0.00537944 ...  0.01078757 -0.00288159
 -0.01258071]"
change,"[-0.00502978 -0.00657873  0.0109634  ... -0.00497803 -0.02608034
 -0.01395781]"
changed,"[-0.01358233 -0.0120353  -0.00076982 ... -0.01081604 -0.03516197
 -0.01175999]"
channel,"[ 0.00117349 -0.01420733  0.00460429 ...  0.00660523 -0.01206296
 -0.00766665]"
chaotic,"[-0.02469683  0.00182487 -0.01857212 ... -0.01796493  0.00364314
 -0.03981059]"
chapel,"[-0.01320731 -0.00440792 -0.0111663  ...  0.00346643  0.00690651
 -0.02102899]"
chapter,"[ 0.01014833 -0.00682468  0.00498714 ... -0.0033521   0.00168609
 -0.00329185]"
charge,"[ 0.0003268  -0.00639345  0.01083554 ... -0.00309194 -0.0083826
 -0.01613306]"
charging,"[-0.00492857 -0.00942828  0.00986395 ... -0.0014653  -0.00630027
 -0.01249843]"
chariot,"[-0.0109953  -0.00968283  0.00273711 ... -0.00689718 -0.01581663
 -0.02796369]"
charles,"[-0.00227127  0.00829962 -0.00498394 ... -0.00355375 -0.01094799
 -0.00341299]"
charlie,"[ 0.00404919 -0.00094181 -0.00412053 ...  0.00813915 -0.02256951
 -0.00743258]"
chat,"[-0.01705443 -0.00494485  0.0165626  ... -0.00450287 -0.01628345
 -0.03759152]"
chatbot,"[-0.04658074 -0.02390327 -0.01082333 ... -0.01483507 -0.00913785
 -0.02205063]"
chatbots,"[-0.04145943 -0.01942983 -0.00947546 ... -0.01276622 -0.01901934
 -0.01789734]"
chateau,"[-0.00590809 -0.00236124  0.00141291 ...  0.00650756 -0.00937835
 -0.02143432]"
chatgpt,"[-0.0066523  -0.00378078 -0.00053504 ... -0.0038275   0.01518061
 -0.01876014]"
check,"[ 0.00753803 -0.02296084  0.00189205 ... -0.00117782 -0.01738269
 -0.01395289]"
checkmate,"[-0.01143741 -0.02260554 -0.01211059 ... -0.00661067  0.02205353
 -0.03309376]"
chemical,"[-0.00233733  0.01581345 -0.01917947 ...  0.01124527 -0.0089921
 -0.01363584]"
cheney,"[-0.01324361  0.00898045 -0.00803157 ...  0.00380906 -0.01484315
 -0.02456236]"
cheyenne,"[-0.01322661  0.00322117  0.00139857 ...  0.0103474   0.00200041
 -0.03009157]"
chicago,"[-0.00288856 -0.01060503 -0.00699946 ...  0.00162951 -0.00665119
 -0.02391425]"
chick,"[-0.03231709 -0.01847451 -0.00387326 ... -0.02353238 -0.01345658
 -0.01381595]"
chief,"[ 0.01025664 -0.00279316 -0.01513757 ...  0.00923365 -0.00342334
  0.01226919]"
child,"[ 0.0187198   0.00237043 -0.01055104 ...  0.0015143  -0.02099378
 -0.01252047]"
children,"[ 0.01242753  0.00794705  0.00933778 ... -0.01599    -0.00711124
 -0.00014708]"
china,"[ 0.01963178 -0.01631959 -0.0055382  ... -0.00454924 -0.00441179
 -0.0134298 ]"
chinese,"[-0.00316884 -0.00395644  0.00375828 ...  0.00317556  0.0041378
 -0.0342309 ]"
chip,"[-0.01712236 -0.00718099  0.01264174 ...  0.00931462 -0.01513542
 -0.01784246]"
chmunkhbayar,"[-6.56854609e-05  5.73499128e-03 -2.53340229e-03 ... -2.12879665e-02
  1.18326172e-02 -1.55664058e-02]"
choked,"[-0.02979385 -0.00941814 -0.00611742 ...  0.00047393 -0.024147
 -0.00750897]"
choose,"[ 0.00542248 -0.02581197  0.01181237 ... -0.02944331 -0.00540495
 -0.03446269]"
chrissy,"[-0.01472527 -0.00140801 -0.00327322 ... -0.0057709  -0.01794938
 -0.02522396]"
christianity,"[ 0.00260211 -0.0112166  -0.00249131 ... -0.00085053  0.01343906
 -0.03047578]"
christians,"[-0.00263909 -0.01818188 -0.01454816 ...  0.00350442  0.01448185
 -0.01608652]"
christina,"[-0.00706596 -0.00662048  0.00136385 ... -0.00117623 -0.00442736
 -0.02697538]"
christmas,"[ 0.0077319  -0.00985237 -0.01230012 ... -0.00590461  0.01915928
 -0.02470934]"
chrono,"[ 0.01145674 -0.01206999 -0.0006224  ... -0.00718485 -0.00537644
 -0.00270913]"
chunk,"[ 0.00735599 -0.01402458  0.01004185 ... -0.01207573 -0.00119854
 -0.00787332]"
church,"[-0.00049897 -0.00012877 -0.02697319 ... -0.00812238  0.00628691
 -0.02571647]"
churchgoer,"[-0.00237448 -0.01041925 -0.00861722 ... -0.02129916  0.02883246
 -0.01867064]"
cia,"[ 0.00670178 -0.01913605  0.00057455 ... -0.0116734  -0.02194322
 -0.02316615]"
cia27,"[-0.00614    -0.00586262  0.02417647 ... -0.00711597 -0.00784194
 -0.0240532 ]"
ciadarpa,"[-0.01148553  0.01534234  0.01466298 ...  0.01875332 -0.01757859
 -0.01224274]"
ciawef,"[-0.02073279  0.00513144  0.00543856 ...  0.00027758 -0.00567322
 -0.00521771]"
cicada,"[-0.0073134   0.01263661  0.01153478 ... -0.00240681 -0.00847721
 -0.04129108]"
circulating,"[-0.04073164  0.0034993  -0.00620682 ... -0.01544993 -0.0124825
 -0.02642462]"
circumvent,"[-0.01945223 -0.00588033 -0.00171022 ...  0.00099069 -0.0055117
 -0.03360189]"
circuses,"[-0.01941275  0.00069117  0.01614842 ... -0.01709441 -0.00640541
 -0.03024499]"
cisa,"[-0.00070922 -0.01091438  0.00682323 ...  0.00367889  0.01372332
 -0.01372332]"
cite,"[-0.01823808 -0.01022839  0.00683056 ... -0.01532166 -0.01155404
 -0.00622355]"
citizen,"[-0.00847462 -0.00936389 -0.00286358 ... -0.01791814  0.00542522
 -0.04226027]"
citizens,"[-0.00426083 -0.00761268 -0.01037303 ... -0.01216425  0.00311625
 -0.02486319]"
city,"[ 0.01652363 -0.00626699 -0.00711798 ... -0.03238576 -0.02089226
 -0.02166401]"
civil,"[ 0.01398288 -0.00935873 -0.00399955 ... -0.01129121 -0.01199519
 -0.01030427]"
civilian,"[-0.00172605 -0.00244487 -0.00147984 ... -0.01059215  0.00057549
 -0.01001365]"
civilization,"[-0.00195628 -0.01468204  0.00373351 ... -0.00849489 -0.00221159
 -0.0203453 ]"
claim,"[-0.00066932 -0.02621005  0.00757194 ... -0.01670908 -0.00164156
 -0.00726989]"
claimed,"[-0.01283417 -0.02658111  0.00431839 ... -0.01248842 -0.01364322
 -0.01093947]"
claiming,"[-0.01225034 -0.01575735 -0.01409031 ... -0.01762499  0.01234026
 -0.01575735]"
claims,"[-0.00338251 -0.01742558 -0.01122907 ... -0.02514935  0.00690968
 -0.00911647]"
clandestine,"[-0.00920668 -0.0146789   0.00579592 ... -0.01507416  0.00760523
 -0.02571875]"
class,"[ 0.01383179  0.01125118 -0.00465786 ... -0.01742621 -0.00532074
 -0.00618921]"
classic,"[ 0.00823391 -0.00867732  0.0030664  ... -0.01757294 -0.00672629
 -0.00216421]"
classified,"[-0.00137705  0.00213926 -0.00491199 ... -0.02111139 -0.0238079
 -0.01834712]"
clay,"[-0.00959081 -0.00126498 -0.01158494 ... -0.01086597 -0.031065
 -0.01581738]"
clear,"[ 0.00373477 -0.00470996  0.00809891 ... -0.01859084 -0.00870062
 -0.01459326]"
clearly,"[-0.01093006 -0.00811516 -0.0104014  ... -0.00882918 -0.00923425
 -0.005211  ]"
climate,"[ 0.01582229 -0.00906172  0.0085043  ... -0.01009796 -0.0248983
 -0.03473185]"
climatic,"[-0.01561503 -0.00330253  0.01618731 ...  0.00178326 -0.00319693
 -0.03747063]"
clinical,"[ 0.00250362 -0.0110132   0.00806457 ... -0.0104357  -0.0111219
 -0.00363483]"
clinton,"[-0.02267238 -0.01220821  0.00125738 ... -0.02426535 -0.00769707
 -0.00089347]"
close,"[ 0.00044824 -0.01032906 -0.00110452 ... -0.01168626  0.00857183
 -0.02412971]"
closed,"[-0.01277718 -0.02484452 -0.00446041 ... -0.00648415 -0.01115273
 -0.0327893 ]"
clot,"[-0.03849945 -0.01718679 -0.00129509 ... -0.01245648 -0.01145129
 -0.01945996]"
cloud,"[-0.00450592 -0.0121118  -0.00045779 ... -0.00104761 -0.01984798
 -0.00578157]"
club,"[-0.0048323  -0.0224432   0.00507427 ... -0.02374771  0.00879493
 -0.01589259]"
cmv,"[-0.00809132 -0.02566529 -0.00203127 ... -0.02272053 -0.01224504
 -0.01603405]"
cnn,"[-0.02180677 -0.00801445  0.02232597 ...  0.00246957 -0.0096453
  0.00223326]"
co2,"[ 0.00305933 -0.00534672  0.0033818  ...  0.00385298 -0.01164249
 -0.02238941]"
cobalt,"[ 0.00432013 -0.01429342  0.02526473 ...  0.00080479 -0.02224971
  0.00109399]"
cobra,"[-0.01283204 -0.03331591 -0.01709133 ...  0.00281526 -0.01751117
 -0.00128066]"
code,"[-0.001798   -0.0266859   0.0063857  ... -0.01043077 -0.00905633
 -0.01789493]"
coding,"[ 0.00557535 -0.01235732  0.00502526 ... -0.00199626 -0.01288256
 -0.0183124 ]"
coen,"[-0.00460932 -0.0253942   0.02696157 ... -0.00778187 -0.00466087
 -0.01055227]"
coffin,"[-0.01836748 -0.0298018   0.01231441 ...  0.00065166 -0.00996305
 -0.02824319]"
coincidence,"[-0.01467354 -0.02742743  0.00229438 ... -0.00763918 -0.00625203
 -0.01982769]"
coincidental,"[-0.02733173 -0.01441028  0.01084528 ... -0.02203203 -0.00474652
 -0.02678537]"
col,"[ 0.01984712 -0.0144206   0.00191534 ...  0.00032827 -0.0207356
 -0.01254798]"
colares,"[ 0.00056581  0.01468021  0.01975706 ... -0.0054896  -0.00717501
 -0.00930068]"
cold,"[-0.00113863 -0.01325133 -0.00129487 ... -0.00293329 -0.01230901
 -0.01875472]"
cole,"[ 0.01456528 -0.00954161  0.00701291 ... -0.0012104  -0.02956213
 -0.01147016]"
collapse,"[-1.48365339e-02 -8.35981593e-03  1.71190780e-02 ... -3.98018537e-03
  7.04378690e-05 -2.05856916e-02]"
collapsed,"[-0.02351437 -0.00958311  0.00517774 ... -0.00528859 -0.00597514
 -0.01299441]"
collection,"[-0.01161543 -0.00258388 -0.00249099 ... -0.00783078  0.00068855
 -0.01852413]"
collier,"[-0.01224436  0.01099674  0.00676303 ... -0.00208618 -0.0109422
  0.0042678 ]"
collusion,"[-0.02571583  0.00351862  0.01314693 ... -0.00535354 -0.00328841
 -0.02189811]"
columbian,"[-0.01538115  0.00911475  0.00890452 ...  0.00527964 -0.00708021
 -0.02663895]"
com,"[-0.00568502 -0.00760324 -0.00519067 ...  0.00672942 -0.00495046
 -0.01264422]"
come,"[ 0.01343692 -0.01693765 -0.00029981 ...  0.00275656 -0.01453395
 -0.02322637]"
coming,"[-0.00392553 -0.02700067 -0.00039011 ... -0.03398988 -0.00183315
 -0.0082214 ]"
comment,"[-0.0059128  -0.0007213   0.0023745  ... -0.01939897 -0.00691679
 -0.00438075]"
comments,"[-6.50000572e-03 -8.53279885e-03  7.97615852e-03 ... -1.14287362e-02
  8.96723359e-05 -1.92639735e-02]"
commission,"[ 0.01253012 -0.02581632 -0.01005572 ... -0.01010383  0.00040574
 -0.00863293]"
committee,"[ 0.00213635 -0.01710435 -0.0086472  ... -0.00965174 -0.00855896
 -0.00806348]"
common,"[-0.00045317  0.00744951  0.01440558 ... -0.01402865  0.00213651
 -0.02080654]"
commonwealth,"[-0.00560532  0.00242657 -0.0006543  ... -0.00645024 -0.00376779
 -0.02662527]"
communism,"[-0.00597957 -0.02964775 -0.00710663 ...  0.00530398 -0.0003179
 -0.02543834]"
communities,"[ 0.00905366 -0.0103518  -0.0005022  ... -0.00903369 -0.00355157
 -0.01850675]"
community,"[ 0.02005495 -0.01188514 -0.0056842  ... -0.00208497 -0.01292517
 -0.02885924]"
companies,"[ 0.00843498 -0.02481831  0.00103686 ... -0.00285344 -0.01292528
 -0.0060608 ]"
company,"[-0.00716854 -0.03483978 -0.00220273 ... -0.00297511 -0.0212835
 -0.00298353]"
compare,"[-0.00193155 -0.00330501 -0.00190799 ... -0.00537427 -0.01228508
 -0.01566982]"
compared,"[-0.01401622 -0.0101812   0.000557   ... -0.01276745 -0.01321782
 -0.01334748]"
compares,"[-0.00493796 -0.016562   -0.00586426 ... -0.01689631  0.01092758
 -0.01515514]"
comparing,"[-0.01309303 -0.00412314  0.00737251 ... -0.00617448 -0.00257867
 -0.01279949]"
compel,"[-0.02652922 -0.01402814 -0.02214239 ...  0.0164645  -0.01313273
 -0.02391934]"
compelling,"[-0.0366303   0.00756406 -0.01861607 ... -0.00054884 -0.01369875
 -0.0328551 ]"
compensation,"[-0.01628145 -0.01335052  0.00630117 ...  0.00036165 -0.0128014
 -0.01036467]"
compilation,"[-0.02710005 -0.00045069 -0.00498254 ... -0.00277284  0.00298231
 -0.01876263]"
complaining,"[-0.00888746 -0.00330673  0.01202936 ...  0.00358257  0.00644189
 -0.02685749]"
complete,"[-0.01088836 -0.0234347  -0.00127658 ... -0.00990611 -0.00449676
 -0.03630846]"
complications,"[ 0.00952547 -0.00770015  0.00530695 ... -0.00293911 -0.00937674
 -0.02024078]"
compound,"[-0.00429564  0.00585324  0.00191383 ... -0.00505698 -0.02000439
 -0.03883534]"
computer,"[-0.00317948 -0.0142113  -0.01018963 ... -0.01371119  0.00838369
  0.00739738]"
comvideoq95dngnf2jsj,"[-1.72173623e-02  8.48501269e-03  8.32012203e-03 ... -2.14083400e-02
 -2.07212940e-02 -8.23917981e-06]"
concern,"[ 0.00863187 -0.02974757  0.0299879  ... -0.00966662 -0.01793132
 -0.02624942]"
concerning,"[-0.00252902 -0.01478455  0.01655604 ... -0.02262969 -0.00039105
 -0.0375874 ]"
concerns,"[ 0.00670308 -0.0269328   0.02918166 ... -0.01301796 -0.00568908
 -0.02244846]"
conclusion,"[ 0.00031392 -0.00420758 -0.009887   ... -0.01351707  0.00213184
 -0.01871798]"
condensed,"[-0.02600295  0.01301546  0.0121832  ...  0.00368224 -0.021429
 -0.01933086]"
condition,"[ 0.02111075 -0.01297925  0.00677399 ... -0.00525399 -0.01167252
 -0.01848375]"
conditioned,"[-0.01429766 -0.01059693 -0.00338835 ... -0.01099295 -0.01534916
 -0.0169742 ]"
conduct,"[-0.01024915 -0.0047363   0.01567105 ... -0.01614678 -0.01092076
 -0.01870732]"
conducted,"[-0.01928197  0.0018033   0.00312069 ... -0.01692435 -0.00133844
 -0.01034266]"
conducting,"[-0.02799906  0.00893572  0.00304517 ... -0.01121616  0.00380302
 -0.01784389]"
conference,"[ 4.65917365e-05 -1.79825611e-02  6.82295393e-03 ... -1.68865584e-02
 -4.54638107e-03 -2.65340861e-02]"
confess,"[ 0.00998731 -0.00824003  0.01330318 ... -0.00544041  0.01403122
 -0.01658596]"
confessed,"[-0.00417389 -0.00806752  0.00610235 ... -0.01809686  0.00590884
 -0.00513478]"
confessions,"[ 0.00150923 -0.01148327  0.00641751 ...  0.00069105  0.02706115
 -0.02002683]"
confident,"[-0.00757047 -0.00527629 -0.0158187  ... -0.02477856  0.0085871
 -0.0160898 ]"
confirm,"[ 0.01267543 -0.02564257 -0.01605786 ... -0.00900824 -0.01189754
  0.00043691]"
confirming,"[-0.00655989 -0.02190618 -0.01389075 ... -0.00978999 -0.00366543
  0.01101291]"
confirms,"[ 0.01167527 -0.02760469 -0.01898835 ... -0.00566207  0.01029774
  0.0092916 ]"
conflict,"[-0.01965446 -0.00969925 -0.00630115 ... -0.00669518 -0.00656047
 -0.02480045]"
conflicts,"[-0.01005318 -0.01055823  0.00604692 ...  0.00356605  0.0028426
 -0.01564283]"
confronted,"[-0.02243151 -0.00396395  0.00367566 ... -0.00929384 -0.01964473
 -0.01116771]"
congress,"[-0.00300649 -0.00223153 -0.01111267 ... -0.01533242 -0.00761955
 -0.02455853]"
connection,"[-0.00226584 -0.00740639  0.01608407 ... -0.02115498 -0.03116824
 -0.02265483]"
conquer,"[-4.68865037e-03 -1.12872357e-02  1.53346444e-02 ... -2.61393325e-05
 -8.01897049e-03 -9.36351065e-03]"
conscience,"[-0.00704498 -0.01772438  0.01752685 ... -0.00051356  0.00233735
 -0.04058435]"
consensus,"[-0.01717268 -0.00871727  0.0014859  ... -0.00076319  0.00216726
 -0.01846821]"
consent,"[-0.00201886 -0.02190748  0.00298784 ... -0.01884717 -0.00619139
 -0.02170526]"
conservative,"[-0.02041017 -0.01908025  0.00137233 ...  0.00403046 -0.01229495
 -0.01137894]"
consider,"[-0.00655965 -0.01717769  0.00488275 ... -0.02396985 -0.00794768
 -0.01187219]"
considered,"[-0.01441473 -0.01815188  0.01068442 ... -0.02581784  0.00703625
 -0.01449687]"
consistently,"[-0.01294285 -0.00905438  0.01726649 ...  0.00545017  0.01301304
 -0.01049325]"
conspiracies,"[-0.01656733 -0.00929692  0.01386971 ...  0.00436225 -0.00297232
 -0.03223984]"
conspiracy,"[-0.02310926 -0.02413168 -0.00460088 ... -0.00089625 -0.01347494
 -0.0263207 ]"
conspiring,"[-0.03019714 -0.0052298   0.01431528 ...  0.00263516 -0.00617178
 -0.0254704 ]"
constant,"[ 0.0042093  -0.01415792  0.01742947 ... -0.00492848 -0.01225421
 -0.03968165]"
constitution,"[ 0.00313586 -0.01303507 -0.00103618 ... -0.00118896  0.00507678
 -0.02682125]"
consumption,"[ 0.00951697 -0.02095991  0.00075005 ... -0.00707297  0.00749138
 -0.01933944]"
contact,"[-0.0014009  -0.03043114  0.0066534  ... -0.0017622  -0.02613642
 -0.02340962]"
contagion,"[-0.01177568 -0.01634596  0.01353242 ... -0.02466305 -0.01489115
 -0.02308472]"
contain,"[-0.00704164 -0.00207085  0.0386859  ... -0.01096951 -0.02273434
 -0.03403399]"
contend,"[-0.00617942 -0.00840627  0.01034726 ... -0.02094861 -0.01149068
 -0.02905138]"
content,"[-0.00283298 -0.01396071  0.01420781 ... -0.01626691  0.00101239
 -0.03991913]"
continent,"[ 0.02100259 -0.01946945  0.03150388 ... -0.00749608 -0.01695945
 -0.02679594]"
continue,"[-0.00540629 -0.02142689 -0.00171536 ... -0.01631446 -0.00410694
 -0.01318469]"
continuing,"[-0.01627716 -0.03675844 -0.01034436 ... -0.01288205  0.02104829
 -0.00145986]"
contract,"[-0.00360678 -0.02602647  0.00746751 ... -0.01249847 -0.0062664
 -0.01364468]"
contractor,"[-0.00696521 -0.02668362 -0.00963497 ... -0.01308254  0.00457574
  0.00074146]"
contribute,"[-0.00069303 -0.02025336  0.02015578 ...  0.00933912 -0.01261479
 -0.02896523]"
contributor,"[ 0.00391254 -0.02147956  0.01114441 ... -0.00889495  0.0011393
 -0.0211778 ]"
control,"[-0.00376972 -0.02217565  0.01957683 ...  0.02153309 -0.01927697
 -0.02119038]"
